,S0_EXP_T,S0_EXP_liq,S0_EXP_vap,S0_MD_T,S0_MD_liq,S0_MD_vap,S0_EXP_azeotrope,S0_MD_azeotrope,EXP_T,EXP_liq,EXP_vap,EXP_azeotrope
0,372.4,0.0,0.0,361.7274615936825,-0.0005772005772005789,-0.003369805454325098,344.82758620689657,337.31,372.33,0.0,0.0,344.42
1,368.3819095477387,0.010101010101010102,0.13924581030445712,357.7345757358219,0.012409812409812405,0.1355138692092156,0.64,0.605,362.55,0.024,0.251,0.645
2,364.36381909547737,0.020202020202020204,0.2287400730699318,353.29803589375445,0.02683982683982683,0.2455623960421975,0.6322285689435605,0.395,353.82,0.057,0.43,0.355
3,361.17705770230464,0.030303030303030304,0.2913995137815189,349.33215506101936,0.04386724386724385,0.32706946473074705,,,348.56,0.097,0.534,
4,358.8216253682204,0.04040404040404041,0.33833960923928164,347.1601794687724,0.058008658008658,0.36868246209236333,,,346.51,0.137,0.566,
5,356.74330272049906,0.05050505050505051,0.3742118423937027,345.30840631730075,0.07157287157287157,0.4039894405588509,,,345.84,0.209,0.586,
6,352.58665742505633,0.08080808080808081,0.4453434289320956,344.40180904522606,0.0808080808080808,0.4206295650773524,,,345.7,0.273,0.6,
7,351.61677352278633,0.09090909090909091,0.46139316826702975,343.4566331658291,0.0909090909090909,0.43711846396440784,,,345.33,0.333,0.608,
8,350.7854444636978,0.10101010101010102,0.4749314382545667,342.64648241206027,0.101010101010101,0.45108713955416274,,,344.9,0.4,0.618,
9,350.0926702477907,0.11111111111111112,0.4865143309936638,342.0176511127064,0.11024531024531023,0.4624180078141822,,,344.74,0.444,0.621,
10,348.9842315023393,0.13131313131313133,0.5050283694180628,341.3270940416367,0.12294372294372292,0.4749779120901806,,,344.53,0.502,0.626,
11,348.15290244325075,0.15151515151515152,0.51896252753481,340.5323747307968,0.14141414141414138,0.4895096443784761,,,344.52,0.545,0.631,
12,347.4601282273436,0.17171717171717174,0.5294933548698215,339.8688226848528,0.159018759018759,0.5015569995392092,,,344.47,0.597,0.64,
13,347.3215733841622,0.18181818181818182,0.534279546514745,339.45988944723615,0.17518037518037516,0.5097960147152805,,,344.44,0.652,0.648,
14,347.04446369779936,0.19191919191919193,0.5380999824585821,339.1936970567121,0.1893217893217893,0.5158687166883479,,,344.48,0.705,0.657,
15,346.9059088546179,0.20202020202020204,0.5418356217961873,338.9776568557071,0.20288600288600284,0.5212621329761603,,,344.58,0.754,0.665,
16,346.7673540114365,0.21212121212121213,0.5451680646610312,338.8657788944723,0.2121212121212121,0.5243142303097401,,,344.71,0.807,0.679,
17,346.62879916825506,0.22222222222222224,0.5481645953498119,338.7307537688442,0.22135642135642133,0.5271904064234743,,,345.22,0.86,0.713,
18,346.49024432507366,0.23232323232323235,0.5508838655763761,338.59572864321603,0.2349206349206349,0.5309697020486728,,,346.22,0.906,0.763,
19,346.3516894818922,0.24242424242424243,0.5533770397801911,338.4491299353912,0.2499278499278499,0.5348341176080877,,,348.35,0.954,0.849,
20,346.3516894818922,0.25252525252525254,0.5560835677531509,338.36039913854984,0.2626262626262626,0.5379961996858443,,,351.44,1.0,1.0,
21,346.2131346387108,0.26262626262626265,0.558252195583804,338.2793840631729,0.2753246753246753,0.540842057262915,,,,,,
22,346.07457979552936,0.2828282828282829,0.5626827215185007,338.23694759511835,0.29033189033189033,0.5442605794176991,,,,,,
23,346.07457979552936,0.29292929292929293,0.564995697858505,338.1443589375448,0.30389610389610383,0.5471606623002366,,,,,,
24,345.93602495234796,0.30303030303030304,0.5668756776201579,338.1019224694902,0.31226551226551225,0.5489383350550985,,,,,,
25,345.93602495234796,0.31313131313131315,0.5691245073677045,338.00933381191663,0.3258297258297258,0.5517584051541237,,,,,,
26,345.7974701091665,0.33333333333333337,0.5731936214701758,337.9668973438621,0.3408369408369408,0.5550034036862546,,,,,,
27,345.7974701091665,0.3434343434343435,0.5754162442806442,337.87430868628854,0.3544011544011544,0.5578088575604367,,,,,,
28,345.6589152659851,0.3535353535353536,0.5772418516745803,337.8202986360373,0.3636363636363636,0.559728096921642,,,,,,
29,345.6589152659851,0.36363636363636365,0.579449879062343,337.7855778894472,0.3737373737373737,0.5618665157683774,,,,,,
30,345.52036042280366,0.38383838383838387,0.58341309391074,337.7508571428571,0.38383838383838376,0.5639776909104863,,,,,,
31,345.52036042280366,0.393939393939394,0.5855344251587742,337.68527351040916,0.3939393939393939,0.5659775138265217,,,,,,
32,345.38180557962227,0.4040404040404041,0.5872076941375899,337.65055276381906,0.4031746031746032,0.5678234083630709,,,,,,
33,345.38180557962227,0.4141414141414142,0.5892061953935904,337.61583201722897,0.41673881673881674,0.5704333119213612,,,,,,
34,345.38180557962227,0.42424242424242425,0.5911489864233708,337.55024838478107,0.4317460317460317,0.5731792189515719,,,,,,
35,345.2432507364408,0.4444444444444445,0.5945189423356183,337.5039540559942,0.4453102453102453,0.5756324021561177,,,,,,
36,345.2432507364408,0.4545454545454546,0.5963531893199724,337.52710122038764,0.4536796536796537,0.5772169878738188,,,,,,
37,345.2432507364408,0.4646464646464647,0.5981694123106825,337.4808068916008,0.4672438672438672,0.5795838415078263,,,,,,
38,345.2432507364408,0.4747474747474748,0.5999763613572179,337.41522325915287,0.48225108225108226,0.5821633184088635,,,,,,
39,345.1046958932594,0.5050505050505051,0.6050412473732416,337.3689289303661,0.49581529581529576,0.5845298434920855,,,,,,
40,345.1046958932594,0.5151515151515152,0.6068926164161499,337.38050251256277,0.505050505050505,0.5862556534787752,,,,,,
41,345.1046958932594,0.5252525252525253,0.608768485673704,337.38050251256277,0.5151515151515151,0.5881349312106243,,,,,,
42,345.1046958932594,0.5353535353535354,0.6106721389353269,337.38050251256277,0.5252525252525252,0.590039834664653,,,,,,
43,345.1046958932594,0.5454545454545455,0.6126070316956395,337.38050251256277,0.5353535353535352,0.5919735360226019,,,,,,
44,345.1046958932594,0.5555555555555556,0.6145768140488236,337.38050251256277,0.5454545454545454,0.593939563348378,,,,,,
45,344.96614105007797,0.6060606060606061,0.624715845406799,337.38050251256277,0.5526204906204906,0.5950905297912419,,,,,,
46,344.96614105007797,0.6161616161616162,0.6269849171277525,337.38050251256254,0.5676132756132753,0.598551238898872,,,,,,
47,344.96614105007797,0.6262626262626263,0.6293182922517871,337.38050251256243,0.6095108225108221,0.6098581419356278,,,,,,
48,344.96614105007797,0.6363636363636365,0.6317206144987484,337.38050251256266,0.6105209235209236,0.6100899713696468,,,,,,
49,344.82758620689657,0.64,0.64,337.38050251256266,0.6544819624819623,0.6185482380116422,,,,,,
50,344.82758620689657,0.64,0.64,337.38050251256277,0.6697922077922077,0.6221494324601485,,,,,,
51,344.96614105007797,0.6464646464646465,0.6341976707383802,337.38050251256277,0.6767676767676767,0.6244135122289567,,,,,,
52,344.96614105007797,0.6565656565656566,0.6367564331839888,337.38050251256277,0.6868686868686869,0.6273314408937641,,,,,,
53,344.96614105007797,0.6666666666666667,0.6394051071486176,337.3689289303661,0.6961038961038961,0.6300572984647002,,,,,,
54,345.1046958932594,0.7070707070707072,0.651473703052539,337.41522325915287,0.7096681096681096,0.6345076105934266,,,,,,
55,345.1046958932594,0.7171717171717172,0.6547193134479908,337.4692333094041,0.7238095238095237,0.6393162267058438,,,,,,
56,345.1046958932594,0.7272727272727273,0.6580884498628459,337.56182196697773,0.7408369408369408,0.6455337192785005,,,,,,
57,345.2432507364408,0.7474747474747475,0.6655515309375297,337.6042584350323,0.7541125541125542,0.6505652655507761,,,,,,
58,345.2432507364408,0.7575757575757577,0.6692978856009808,337.6968470926059,0.7711399711399711,0.6575109110131592,,,,,,
59,345.2432507364408,0.7676767676767677,0.6731937771184788,337.73928356066045,0.7852813852813852,0.6636408052880213,,,,,,
60,345.38180557962227,0.787878787878788,0.6818794857945966,337.8202986360373,0.7979797979797979,0.6693921275377182,,,,,,
61,345.38180557962227,0.797979797979798,0.6863832350702177,337.9090294328786,0.8106782106782107,0.6760339228732473,,,,,,
62,345.52036042280366,0.8080808080808082,0.6915112773986292,338.05562814070345,0.8256854256854257,0.684460215986362,,,,,,
63,345.52036042280366,0.8181818181818182,0.6966265916817325,338.1790796841349,0.8383838383838382,0.6919912505748035,,,,,,
64,345.6589152659851,0.8282828282828284,0.7024716468666942,338.36039913854984,0.8510822510822509,0.7013234040242706,,,,,,
65,345.6589152659851,0.8383838383838385,0.7084413410471869,338.53786073223256,0.8652236652236651,0.7122501713947871,,,,,,
66,345.7974701091665,0.8484848484848485,0.715282748958304,338.8001952620244,0.8822510822510823,0.7281272325630974,,,,,,
67,345.93602495234796,0.8585858585858587,0.7227511477781864,339.05481407035177,0.8955266955266954,0.7424912438578062,,,,,,
68,346.07457979552936,0.8686868686868687,0.730950631655556,339.51004163675515,0.9125541125541126,0.7649134726637044,,,,,,
69,346.2131346387108,0.8787878787878789,0.7400003379483893,339.98841636755196,0.9266955266955266,0.7876016771610928,,,,,,
70,346.3516894818922,0.888888888888889,0.7500370046540775,340.5323747307968,0.9402597402597402,0.8119599125113157,,,,,,
71,346.62879916825506,0.8989898989898991,0.7615084163329868,341.01460732232584,0.9494949494949494,0.8324563452480577,,,,,,
72,347.4601282273436,0.9292929292929294,0.8046198868074039,341.4042512562813,0.9578643578643578,0.8502713967230345,,,,,,
73,348.70712181597645,0.9595959595959597,0.867027401063477,342.6264953338119,0.9757575757575756,0.9098872208232452,,,,,,
74,349.26134118870215,0.9696969696969697,0.8938359002998709,344.19009188801135,0.995959595959595,0.9838406728204643,,,,,,
75,351.3396638364235,1.0,1.0,344.76668557071054,1.0010101010100998,1.004039831794881,,,,,,
76,351.5,1.0,1.0,,,,,,,,,
