,S0_EXP_T,S0_EXP_liq,S0_EXP_vap,S0_MD_T,S0_MD_liq,S0_MD_vap,S0_EXP_azeotrope,S0_MD_azeotrope,EXP_T,EXP_liq,EXP_vap,EXP_azeotrope
0,334.3,0.0,0.0,342.2384617604616,-0.0012987012987013017,-0.0022030666734976644,334.90606060606063,,335.7,0.102,0.067,337.6
1,334.4020408163265,0.0,0.0,342.2086782106781,0.005194805194805167,0.00881226669399048,0.31,,336.9,0.202,0.16,0.4
2,334.4020408163265,0.010101010101010102,0.008794399137800873,341.74137662337665,0.022510822510822513,0.03845649477031834,0.31762517512311167,,337.6,0.301,0.28,0.6
3,334.70816326530615,0.10101010101010102,0.09085491803616438,341.0979711399712,0.04559884559884561,0.0772082451307062,,,337.6,0.396,0.401,
4,334.70816326530615,0.11111111111111112,0.10051244201718686,340.4749523809524,0.068975468975469,0.11531996977264383,,,336.9,0.494,0.544,
5,334.70816326530615,0.12121212121212122,0.11030578103801807,339.658582972583,0.10274170274170277,0.1698610789674052,,,335.9,0.587,0.66,
6,334.70816326530615,0.13131313131313133,0.12023902835646068,339.0355642135642,0.12611832611832613,0.20723971140545128,,,334.5,0.679,0.765,
7,334.70816326530615,0.14141414141414144,0.1303151478488848,338.49847907647916,0.14574314574314579,0.23837017942319566,,,332.5,0.786,0.866,
8,335.01428571428573,0.24242424242424243,0.2386971711876046,337.7143347763348,0.17431457431457437,0.28295221466492526,,,331.0,0.893,0.945,
9,335.01428571428573,0.25252525252525254,0.2502400143286571,336.9087070707071,0.2034632034632035,0.32836762216649634,,,,,,
10,335.01428571428573,0.26262626262626265,0.26188392961794077,336.04937085137084,0.23261183261183266,0.3725708737270891,,,,,,
11,335.01428571428573,0.27272727272727276,0.2736202034025743,335.46931890331894,0.25137085137085147,0.4007290968344607,,,,,,
12,335.01428571428573,0.2828282828282829,0.2854395643998016,334.4488571428572,0.2857142857142858,0.45029392687272174,,,,,,
13,334.90606060606063,0.31,0.31,333.68619624819627,0.3093795093795095,0.48365425745775054,,,,,,
14,334.90606060606063,0.31,0.31,332.5368340548341,0.34718614718614726,0.5343018555264039,,,,,,
15,334.70816326530615,0.38383838383838387,0.40638405387580234,331.83862337662345,0.3691197691197692,0.5625332166434363,,,,,,
16,334.70816326530615,0.393939393939394,0.41854185590932996,330.5603607503608,0.4103896103896104,0.6120702140467684,,,,,,
17,334.70816326530615,0.4040404040404041,0.4306825853144479,329.64731601731603,0.4380952380952382,0.6434550900801275,,,,,,
18,334.4020408163265,0.4545454545454546,0.49116328801535597,328.4657287157288,0.47590187590187605,0.6845406210831471,,,,,,
19,334.4020408163265,0.4646464646464647,0.5031220493855773,327.28414141414146,0.5151515151515154,0.7216623678416333,,,,,,
20,334.09591836734694,0.5050505050505051,0.5507185261202067,326.03810389610396,0.5561327561327563,0.7602818109436936,,,,,,
21,334.09591836734694,0.5151515151515152,0.5624521343971285,325.17876767676773,0.5844155844155846,0.7841641441493687,,,,,,
22,333.78979591836736,0.5555555555555556,0.6088757562036877,324.2764646464647,0.6161616161616164,0.8080952440635589,,,,,,
23,333.4836734693878,0.5858585858585859,0.6427883494815746,323.30971139971143,0.6496392496392498,0.8331109777949188,,,,,,
24,333.4836734693878,0.595959595959596,0.6538178654130754,322.67595093795103,0.671861471861472,0.8482876969051972,,,,,,
25,333.17755102040815,0.6262626262626263,0.6863495612390491,321.95625685425694,0.697835497835498,0.8644544719512525,,,,,,
26,332.87142857142857,0.6565656565656566,0.7177874255245482,320.9895036075037,0.734776334776335,0.8866005599630712,,,,,,
27,332.565306122449,0.686868686868687,0.7481457118080695,320.10868398268406,0.7685425685425687,0.9052837504064832,,,,,,
28,332.565306122449,0.696969696969697,0.7579831337393119,319.42121500721504,0.7962481962481964,0.9194807381242653,,,,,,
29,332.2591836734694,0.7171717171717172,0.7774409278997523,318.5726204906206,0.8317460317460319,0.9361761347666232,,,,,,
30,332.2591836734694,0.7272727272727273,0.7869278499611838,317.4769668109669,0.8796536796536799,0.956479249866482,,,,,,
31,331.95306122448983,0.7474747474747475,0.8056652901474263,316.5650187590188,0.9215007215007218,0.9732547505714193,,,,,,
32,331.6469387755102,0.7777777777777778,0.8327995208642206,315.8828831168831,0.9546897546897541,0.9850199550213149,,,,,,
33,331.3408163265306,0.8080808080808082,0.8588381679587179,315.02061760461754,0.9987012987012976,0.9995457041944199,,,,,,
34,331.03469387755104,0.8383838383838385,0.8837899864301432,,,,,,,,,
35,330.72857142857146,0.8686868686868687,0.9076774138146121,,,,,,,,,
36,330.4224489795919,0.888888888888889,0.923045767742659,,,,,,,,,
37,330.11632653061224,0.9191919191919192,0.945239416037745,,,,,,,,,
38,329.81020408163266,0.9494949494949496,0.9664903542916016,,,,,,,,,
39,329.5040816326531,0.9797979797979799,0.9868654295073384,,,,,,,,,
40,329.3,1.0,1.0,,,,,,,,,
