,S0_EXP_T,S0_EXP_liq,S0_EXP_vap,S0_MD_T,S0_MD_liq,S0_MD_vap,S0_EXP_azeotrope,S0_MD_azeotrope,EXP_T,EXP_liq,EXP_vap,EXP_azeotrope
0,337.85,1.0,1.0,334.56,1.0,1.0,,,373.15,0.0,0.0,
1,348.14629258517033,0.3927855711422845,0.7202653851513401,348.14629258517033,0.49699398797595185,0.9303767370251727,,,371.54999999999995,0.012,0.068,
2,348.22645290581164,0.3887775551102204,0.7181709901494845,348.46693386773546,0.48697394789579157,0.928328823714003,,,370.04999999999995,0.02,0.121,
3,348.62725450901803,0.37074148296593185,0.7085706865597435,348.7875751503006,0.47695390781563124,0.9262446843842695,,,368.95,0.026,0.159,
4,348.70741482965934,0.3667334669338677,0.7064021987259346,349.10821643286573,0.4669338677354709,0.9241226861586159,,,368.25,0.033,0.188,
5,349.0280561122245,0.35270541082164325,0.6986681404016638,349.82965931863725,0.4448897795591182,0.9192949077053355,,,367.25,0.036,0.215,
6,349.749498997996,0.3226452905811623,0.6812794076501346,351.03206412825654,0.40881763527054105,0.9108840388627499,,,365.34999999999997,0.053,0.275,
7,350.87174348697397,0.280561122244489,0.6543593966507124,351.51302605210424,0.3947895791583166,0.9074062435850514,,,363.15,0.074,0.356,
8,351.3527054108216,0.26452905811623245,0.6430246562756333,352.0741482965932,0.3787575150300601,0.9032629470788435,,,361.75,0.087,0.395,
9,351.9939879759519,0.2444889779559118,0.6277622864067138,352.87575150300603,0.3567134268537074,0.8972166893207694,,,360.04999999999995,0.108,0.44,
10,352.5551102204409,0.2284569138276553,0.6144960578306721,352.9559118236473,0.3547094188376753,0.8966379812419435,,,358.54999999999995,0.129,0.488,
11,353.99799599198394,0.19238476953907813,0.5801750458652333,355.04008016032066,0.30260521042084165,0.8800646493851227,,,356.54999999999995,0.164,0.537,
12,354.6392785571142,0.1783567134268537,0.5646889883387873,355.1202404809619,0.3006012024048096,0.8793569275275883,,,355.15,0.191,0.572,
13,355.04008016032066,0.17034068136272543,0.5551686087222614,355.8416833667335,0.28456913827655306,0.873349204454211,,,352.25,0.268,0.648,
14,356.002004008016,0.15230460921843686,0.5316566165358446,356.80360721442884,0.26452905811623245,0.8650662354967608,,,351.25,0.294,0.666,
15,356.9639278557114,0.13627254509018036,0.5078469239842153,358.0861723446894,0.24048096192384769,0.8536602356688049,,,349.65,0.352,0.704,
16,358.32665330661325,0.11623246492985971,0.4731923744491262,363.4569138276553,0.16432865731462926,0.7993321377743746,,,348.45,0.402,0.734,
17,359.7695390781563,0.09819639278557113,0.4350100694980383,364.0180360721443,0.15831663326653306,0.7930738032605795,,,347.34999999999997,0.454,0.76,
18,361.9338677354709,0.0781563126252505,0.37420237931232864,366.98396793587176,0.13026052104208416,0.7572237840441914,,,346.34999999999997,0.502,0.785,
19,364.81963927855713,0.05410821643286573,0.28646784684019133,367.2244488977956,0.1282565130260521,0.754132876804126,,,345.15,0.563,0.812,
20,365.8617234468938,0.04609218436873747,0.2528081252615881,368.5070140280561,0.11823647294589178,0.737273855846156,,,344.04999999999995,0.624,0.835,
21,366.6633266533066,0.04008016032064128,0.22587668107940023,370.5110220440882,0.10420841683366733,0.7090440696370267,,,342.34999999999997,0.717,0.877,
22,367.2244488977956,0.03607214428857715,0.20704966206517939,397.73,0.0,0.0,,,341.25,0.79,0.91,
23,367.78557114228454,0.03206412825651302,0.1874936069771184,,,,,,340.34999999999997,0.843,0.93,
24,369.5490981963928,0.02004008016032064,0.12404311692678893,,,,,,340.04999999999995,0.857,0.939,
25,373.15,0.0,0.0,,,,,,338.84999999999997,0.938,0.971,
